source	year	first_100_cm_day	first_50_cm_day	first_0_cm_day	precip_est_mm
billy	1975			157	88.16106726912096
billy	1976	117	130	136	75.81657383673027
billy	1977		98	116	95.8399253884821
billy	1978	136	145	155	32.56224645551877
billy	1979	137	144	152	45.975947980478736
billy	1980	144	151	159	26.924603785608056
billy	1981	95	109	119	128.69377405106522
billy	1982	127	142	151	63.374879668651445
billy	1983	144	152	160	58.028839205805085
billy	1984	143	149	156	132.19300053583737
billy	1985	123	137	145	86.41145402673487
billy	1986	132	143	149	74.74736574416099
billy	1987	115	127	132	71.1509385237007
billy	1988	102	126	136	117.02968576849133
billy	1989	108	125	132	136.58108250423643
billy	1990	74	126	138	125.13401471376231
billy	1991	128	138	142	125.15661482092979
billy	1992	100	118	124	154.5929684725785
billy	1993	140	150	156	42.606011035321735
billy	1994	114	135	140	46.067635313029555
billy	1995	157	164	170	93.66774566624692
billy	1996	129	136	141	83.32760588550492
billy	1997	133	141	152	62.80963899147013
billy	1998	122	133	140	76.96690961752924
billy	1999	108	140	145	139.83897215101908
billy	2000	103	122	128	124.03924487697506
billy	2001	94	127	134	116.51213978074199
billy	2002	89	100	115	36.46601839220289
billy	2003	117	136	142	54.12325591229679
billy	2004	84	123	129	79.88556122286482
billy	2005	125	140	146	52.549650026791866
billy	2006	113	123	132	148.40147294029094
billy	2007	85	113	121	100.48421702799413
billy	2008	137	147	153	21.726445612663174
billy	2009	115	126	131	99.89572359560344
billy	2010	106	117	132	133.35
billy	2011	146	152	158	74.72564266991071
billy	2012	74	92	114	99.72795481600673
billy	2013	88	120	135	82.71782607058648
billy	2014	122	138	146	44.03193326671642
billy	2015	78	102	127	181.2793720583358
billy	2016	73	125	139	96.4231298026108
billy	2017	108	131	144	62.88887599021087
billy	2018	85	114	125	37.1306810328602
billy	2019	132	151	157	43.254327381211496
billy	2020	109	122	129	100.60276143719977
billy	2021	93	115	127	0
streamflow	1935			153	28.86861849937037
streamflow	1936			152	181.37657279402396
streamflow	1937			144	230.26854284514616
streamflow	1938			149	173.50331320328658
streamflow	1939			135	41.11591119607295
streamflow	1940			130	29.160220706434714
streamflow	1941			158	48.503167108369745
streamflow	1942			146	49.66957593662713
streamflow	1943			147	254.7631282385513
streamflow	1944			142	85.63384814122995
streamflow	1945			139	81.16261429957662
streamflow	1946			140	95.45112244572964
streamflow	1947			142	106.3376048427986
streamflow	1948			155	81.25981503526474
streamflow	1949			150	142.49627851877764
streamflow	1950			138	32.56224645551877
streamflow	1951			148	95.35392171004152
streamflow	1952			166	41.796316345889764
streamflow	1953			153	106.33760484279861
streamflow	1954			129	77.66338781480447
streamflow	1955			135	121.40371887445653
streamflow	1956			145	82.71782607058648
streamflow	1957			172	59.9728539195674
streamflow	1958			151	29.257421442122833
streamflow	1959			136	68.72092013149782
streamflow	1960			136	73.5809569159036
streamflow	1961			136	39.46349868937499
streamflow	1962			149	37.1306810328602
streamflow	1963			133	72.51174882333433
streamflow	1964			142	128.11056963693653
streamflow	1965			153	112.65565266252612
streamflow	1966			133	110.71163794876381
streamflow	1967			144	150.9527425236437
streamflow	1968			150	95.64552391710588
streamflow	1969			141	141.23266895483215
streamflow	1970			148	103.51878350784324
streamflow	1971			141	61.042062012136675
streamflow	1972			138	55.598820813602195
streamflow	1973			147	74.94176721553721
streamflow	1974			137	75.13616868691345
